Leaflet Link,Unuseable,Date,Constituency,Party,Leader Picture included,Leader mentioned,Party Logo,"Leaflet Style (Leaflet, Letter, Magazine, Newsletter, Newspaper, CV or Survey)",Opposition leader pictured,Opposition leader mentioned,"squeeze message",Does it include a graph?
https://electionleaflets.org/leaflets/8758,,15/03/2015,Cambridge,Labour,no,no,yes,letter,no,no,no,no
https://electionleaflets.org/leaflets/8759,,15/03/2015,Cambridge,Labour,no,no,yes,letter,no,no,no,no
https://electionleaflets.org/leaflets/8760,,15/03/2015,Cambridge,Labour,no,no,yes,letter,no,no,no,no
https://electionleaflets.org/leaflets/8761,,15/03/2015,Cambridge,Liberal Democrats,no,no,yes,letter,no,no,no,no
https://electionleaflets.org/leaflets/8762,,15/03/2015,Bath,Green,no,no,yes,newspaper,no,no,no,yes
https://electionleaflets.org/leaflets/8763,,15/03/2015,Camberwell & Peckham,All People's Party,yes,yes,yes,leaflet,yes,yes,yes,yes
https://electionleaflets.org/leaflets/8764,,16/03/2015,Bedford,Labour,no,yes,yes,letter,no,yes,no,no
https://electionleaflets.org/leaflets/8765,,16/03/2015,Cambridge,Green,yes,yes,yes,newsletter,yes,no,no,yes
https://electionleaflets.org/leaflets/8766,,16/03/2015,Ludlow,Conservative,no,no,yes,newsletter,no,no,no,yes
https://electionleaflets.org/leaflets/8767,,16/03/2015,Ludlow,Conservative,no,no,no,survey,no,no,no,no
https://electionleaflets.org/leaflets/8768,,16/03/2015,Ludlow,UKIP,yes,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8769,,16/03/2015,Sevenoaks,Liberal Democrats,no,no,yes,leaflet,no,no,yes,yes
https://electionleaflets.org/leaflets/8770,,16/03/2015,Rochester and Strood,Conservative,no,no,yes,"leaflet
",no,no,no,no
https://electionleaflets.org/leaflets/8771,,16/03/2015,Oxford East,Labour,no,no,no,"leaflet
",no,no,no,no
https://electionleaflets.org/leaflets/8772,,17/03/2015,Kilmarnock & Loudoun,Labour,no,no,yes,newspaper,no,no,no,no
https://electionleaflets.org/leaflets/8773,,17/03/2015,Reading East,Labour,no,no,yes,"leaflet
",no,no,yes,yes
https://electionleaflets.org/leaflets/8774,,17/03/2015,Rochdale,UKIP,no,no,yes,"leaflet
",no,no,no,no
https://electionleaflets.org/leaflets/8775,,17/03/2015,Finchley & Golders Green,UKIP,no,no,yes,"leaflet
",no,no,no,no
https://electionleaflets.org/leaflets/8776,,17/03/2015,Gedling,Labour,no,no,yes,survey,yes,yes,no,no
https://electionleaflets.org/leaflets/8777,,17/03/2015,Gainsborough,Conservative,no,no,no,newsletter,no,no,no,no
https://electionleaflets.org/leaflets/8778,,17/03/2015,Gainsborough,Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8779,,17/03/2015,Wallasey,Conservative,no,no,yes,newspaper,no,no,no,no
https://electionleaflets.org/leaflets/8780,,17/03/2015,Bridgwater amd West Somerset,Green,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8781,,17/03/2015,Bridgwater amd West Somerset,Green,yes,yes,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8782,,17/03/2015,Bridgwater amd West Somerset,Green,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8783,,17/03/2015,Stroud,Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8784,,17/03/2015,"Hazel Grove
",Conservative,no,no,no,newspaper,no,yes,no,no
https://electionleaflets.org/leaflets/8785,,17/03/2015,Twickenham,Labour,no,no,yes,newsletter,no,yes,yes,yes
https://electionleaflets.org/leaflets/8786,,18/03/2015,Bristol West,Liberal Democrats,no,no,yes,leaflet,yes,yes,no,no
